%time,field.data
1558303678875447806,-21.9529342502
1558303679073090931,22.0
1558303679273119787,22.0
1558303679475162522,20.6111580926
1558303679673193261,22.0
1558303679873434073,22.0
1558303680073446989,22.0
1558303680275761314,-21.9590009968
1558303680473490287,22.0
1558303680675460913,21.8908330109
1558303680873536329,22.0
1558303681073575665,22.0
1558303681273621672,22.0
1558303681475366567,-21.7337074679
1558303681673639595,22.0
1558303681873595968,22.0
1558303682073569188,22.0
1558303682275412223,-21.8863752575
1558303682473656688,22.0
1558303682673529901,22.0
1558303682873556616,22.0
1558303683073559074,22.0
1558303683273533458,22.0
1558303683473584101,22.0
1558303683673543453,22.0
1558303683875718843,21.9984921767
1558303684073600705,22.0
1558303684273595307,22.0
1558303684473432713,22.0
1558303684675855129,-21.7537949386
1558303684873489314,22.0
1558303685073470037,22.0
1558303685273460974,22.0
1558303685475630699,21.849754121
1558303685673570000,22.0
1558303685875707134,-21.7703966359
1558303686073663558,22.0
1558303686273537499,22.0
1558303686473496229,22.0
1558303686673615600,22.0
1558303686873493104,22.0
1558303687073586873,22.0
1558303687273603031,22.0
1558303687475516320,-22.0027489951
1558303687673487052,22.0
1558303687873433564,22.0
1558303688073496818,22.0
1558303688273618187,-3.59981404954e-16
1558303688473363238,-3.59981404954e-16
1558303688673525464,-3.59981404954e-16
1558303688873443900,-3.59981404954e-16
1558303689072319396,-3.59981404954e-16
1558303689273075787,-3.59981404954e-16
1558303689473176936,-3.59981404954e-16
1558303689673084486,-3.59981404954e-16
1558303689873447082,-3.59981404954e-16
1558303690073531020,-3.59981404954e-16
1558303690273383370,-3.59981404954e-16
1558303690473511227,-3.59981404954e-16
